English,Spanish,Tags,x
next to,al lado de,Ch2;Preposiciones,x
to the right of,a la derecha de,Ch2;Preposiciones,x
to the left of,a la izquierda de,Ch2;Preposiciones,x
over there,allá,Ch2;Preposiciones,x
there,allí,Ch2;Preposiciones,x
near,cerca de,Ch2;Preposiciones,x
with,con,Ch2;Preposiciones,x
below,debajo de,Ch2;Preposiciones,x
in front of,delante de,Ch2;Preposiciones,x
behind,detrás de,Ch2;Preposiciones,x
in/on,en,Ch2;Preposiciones,x
on top of,encima de,Ch2;Preposiciones,x
between,entre,Ch2;Preposiciones,x
far from,lejos de,Ch2;Preposiciones,x
without,sin,Ch2;Preposiciones,x
on/over,sobre,Ch2;Preposiciones,x
Where (to)?,¿Adónde?,ch2;Palabras,x
now,ahora,ch2;Palabras,x
Which? Which ones?,¿Cuál? ¿Cuáles?,ch2;Palabras,x
Why?,¿Por qué?,ch2;Palabras,x
because,porque,ch2;Verbos,x
to dance,bailar,ch2;Verbos,x
to look for,buscar,ch2;Verbos,x
to walk,caminar,ch2;Verbos,x
to sing,cantar,ch2;Verbos,x
to have dinner,cenar,ch2;Verbos,x
to buy,comprar,ch2;Verbos,x
to answer,contestar,ch2;Verbos,x
to converse/chat,conversar,ch2;Verbos,x
to have breakfast,desayunar,ch2;Verbos,x
to rest,descansar,ch2;Verbos,x
to wish,desear,ch2;Verbos,x
to draw,dibujar,ch2;Verbos,x
to teach,enseñar,ch2;Verbos,x
to listen,escuchar,ch2;Verbos,x
to wait (for),esperar (+inf),ch2;Verbos,x
to be (temporary),estar*,ch2;Verbos,x
to study,estudiar,ch2;Verbos,x
to explain,explicar,ch2;Verbos,x
to like,gustar*,ch2;Verbos,x
to talk,hablar,ch2;Verbos,x
to arrive,llegar,ch2;Verbos,x
to carry,llevar,ch2;Verbos,x
to look (at),mirar,ch2;Verbos,x
to need,Necesitar (+ inf),ch2;Verbos,x
to practice,practicar,ch2;Verbos,x
to ask,preguntar,ch2;Verbos,x
to prepare,preparar,ch2;Verbos,x
to return,regresar,ch2;Verbos,x
to end,terminar,ch2;Verbos,x
to take,tomar,ch2;Verbos,x
to work,trabajar,ch2;Verbos,x
to travel,viajar,ch2;Verbos,x
When?,¿Cuándo?,ch2;Palabras;Días,x
What day is it?,¿Qué día es hoy?,ch2;Palabras;Días,x
Today is…,Hoy es…,ch2;Días,x
week,la semana,ch2;Días,x
Monday,lunes,ch2;Días,x
Tuesday,martes,ch2;Días,x
Wednesday,miércoles,ch2;Días,x
Thursday,jueves,ch2;Días,x
Friday,jueves,ch2;Días,x
Saturday,sábado,ch2;Días,x
Sunday,domingo,ch2;Días,x
